aspect,dem,faults,landform,landuse,plan,profile,rainaverage,river,slope,twi
1.0,0.0,1.0,0.167,0.625,0.667,0.429,0.614,1.0,0.429,0.286
1.0,0.167,0.143,0.0,0.375,0.5,0.429,0.22,1.0,0.0,0.286
0.286,0.333,0.857,0.0,0.375,1.0,0.143,0.604,0.286,0.857,0.0
0.714,0.0,1.0,0.944,0.875,0.333,0.429,0.66,0.0,0.0,1.0
0.0,0.333,1.0,0.0,0.375,0.833,0.143,0.754,0.143,0.286,0.0
0.0,0.0,0.286,0.389,0.375,0.5,0.429,0.453,1.0,0.143,0.143
0.429,0.833,0.0,0.0,0.375,0.667,0.429,0.476,1.0,1.0,0.0
1.0,0.167,0.286,0.0,0.375,0.167,0.571,0.204,1.0,0.143,0.429
0.429,0.0,0.429,1.0,0.875,0.5,0.429,0.229,0.0,0.0,0.857
0.571,0.0,1.0,0.167,0.625,0.5,0.429,0.457,0.286,0.0,0.286
0.714,0.0,0.429,0.0,0.375,0.667,0.286,0.368,0.429,0.429,0.0
0.286,0.0,1.0,1.0,0.5,0.5,0.429,0.61,1.0,0.0,0.857
0.714,0.167,1.0,0.389,0.0,0.5,0.429,0.07,0.0,0.0,0.714
0.714,0.333,0.429,0.0,0.75,0.0,0.571,0.609,0.286,0.714,0.429
1.0,0.167,0.286,0.0,0.375,0.5,0.429,0.375,0.143,0.714,0.0
0.143,0.5,0.0,0.0,0.625,0.667,0.429,0.603,0.571,0.571,0.0
0.143,0.0,0.429,0.667,0.0,0.5,0.429,0.403,0.429,0.0,0.857
0.286,1.0,0.286,0.0,0.375,0.667,0.429,0.451,0.714,0.714,0.0
1.0,0.333,0.0,0.0,0.75,0.333,0.571,0.446,0.143,0.571,0.143
0.857,0.0,1.0,0.167,0.625,0.333,0.571,0.699,0.143,0.143,0.286
0.286,0.167,0.286,0.0,0.75,0.833,0.0,0.127,0.0,0.714,0.0
0.286,0.667,0.286,0.0,0.375,0.5,0.429,0.204,0.714,0.857,0.286
0.286,0.167,0.429,0.0,0.5,0.5,0.571,0.137,0.286,0.429,0.143
0.429,0.0,1.0,0.0,0.375,0.5,0.429,0.573,0.429,0.571,0.143
0.0,0.167,0.286,0.389,0.625,0.333,0.286,0.732,0.286,0.714,0.0
0.429,0.0,0.0,0.389,0.375,0.5,0.571,0.129,0.429,0.0,0.714
0.857,0.167,0.429,0.0,0.75,0.333,0.571,0.146,0.286,0.143,0.429
0.286,0.167,1.0,0.0,0.375,0.5,0.714,0.538,1.0,0.429,0.286
0.857,0.333,0.143,0.0,0.375,0.5,0.571,0.366,0.714,0.0,0.714
0.857,0.0,0.143,0.0,0.625,0.5,0.429,0.283,0.286,0.0,0.429
0.571,0.833,0.571,0.0,0.375,0.333,0.571,0.303,1.0,0.857,0.143
1.0,1.0,0.0,0.0,0.375,0.667,0.286,0.351,1.0,0.857,0.0
0.714,0.167,0.429,0.0,0.625,0.5,0.429,0.131,0.429,0.0,0.429
0.857,0.167,0.143,0.0,0.375,0.667,0.714,0.701,0.143,0.571,0.143
0.857,0.0,1.0,1.0,0.875,0.5,0.429,0.74,1.0,0.0,0.286
0.0,0.167,0.0,0.167,0.0,0.5,0.429,0.126,0.286,0.0,0.429
0.857,0.0,1.0,1.0,0.875,0.5,0.429,0.661,1.0,0.0,0.714
0.286,0.167,1.0,0.0,0.125,0.5,0.429,0.465,0.714,0.0,0.286
0.571,0.167,1.0,0.0,0.875,0.5,0.429,0.529,0.857,0.0,0.714
0.286,0.5,0.143,0.0,0.625,0.5,0.429,0.564,1.0,0.0,0.286
0.286,0.0,0.714,0.278,0.0,0.5,0.429,0.027,0.0,0.0,0.429
0.429,0.0,0.571,0.389,0.625,0.5,0.429,0.257,0.0,0.0,0.286
0.857,0.167,0.143,0.0,0.625,0.5,0.429,0.574,0.286,0.143,0.429
0.286,0.333,0.143,0.0,0.375,0.5,0.429,0.788,0.0,0.143,0.571
0.286,0.0,1.0,1.0,0.875,0.5,0.429,0.725,1.0,0.0,0.429
0.429,0.833,0.143,0.0,0.375,0.667,0.286,0.4,0.571,0.571,0.0
0.0,0.0,1.0,0.833,0.875,0.5,0.429,0.533,0.0,0.0,0.286
0.571,0.0,1.0,1.0,0.875,0.5,0.429,0.432,1.0,0.0,0.714
0.143,0.167,0.143,0.0,0.375,0.333,0.571,0.11,0.571,0.0,0.571
0.143,0.0,1.0,1.0,0.5,0.5,0.429,0.034,0.143,0.0,0.714
0.857,0.5,0.143,0.0,0.375,0.5,0.143,0.466,0.714,0.286,0.143
0.286,0.0,0.857,1.0,0.875,0.5,0.286,0.503,1.0,0.143,0.571
0.0,0.167,0.286,0.389,0.375,0.5,0.429,0.149,0.286,0.0,0.429
0.857,1.0,0.0,0.0,0.375,0.167,0.571,0.339,1.0,0.714,0.143
0.0,0.167,0.143,0.0,0.625,0.5,0.429,0.594,0.714,0.286,0.0
0.286,0.5,1.0,0.0,0.375,0.667,0.429,0.814,0.143,0.857,0.0
1.0,0.167,0.0,0.167,0.625,0.5,0.429,0.178,0.143,0.0,0.857
1.0,0.333,1.0,0.0,0.375,0.0,0.714,0.745,0.143,0.571,0.571
0.0,0.167,0.571,0.0,0.75,0.5,0.571,0.602,1.0,0.143,0.429
0.714,0.0,1.0,0.0,0.75,0.5,0.429,0.145,0.286,0.0,0.429
0.714,0.0,0.143,0.667,0.625,0.5,0.429,0.17,0.571,0.0,0.857
0.857,0.0,0.429,1.0,0.625,0.5,0.429,0.318,0.0,0.0,0.286
1.0,0.333,0.286,0.0,0.375,0.0,0.714,0.368,0.143,0.714,0.0
0.857,0.0,1.0,1.0,0.75,0.5,0.429,0.231,1.0,0.0,0.714
0.286,0.167,1.0,0.0,0.25,0.5,0.286,0.493,1.0,0.286,0.143
0.571,0.167,0.857,0.0,0.625,0.5,0.571,0.896,0.286,0.0,0.714
0.857,0.0,1.0,1.0,0.625,0.5,0.429,0.657,1.0,0.0,0.714
0.857,1.0,0.0,0.0,0.375,0.833,0.571,0.361,0.571,1.0,0.0
0.714,0.667,0.571,0.0,0.375,0.5,0.429,0.445,1.0,0.143,0.143
1.0,0.667,0.286,0.0,0.375,0.5,0.429,0.862,0.429,0.857,0.0
0.571,0.167,0.429,0.111,0.75,0.5,0.429,0.617,1.0,0.0,0.286
0.0,0.167,0.286,0.389,0.75,0.5,0.0,0.599,0.286,0.571,0.0
0.857,0.167,0.286,0.0,0.625,0.167,0.429,0.16,0.286,0.571,0.429
0.857,0.0,0.857,0.444,0.625,0.5,0.429,0.58,0.0,0.0,0.857
0.429,0.5,0.0,0.0,0.375,0.667,0.571,0.663,0.714,0.286,0.143
0.0,0.0,0.286,0.667,0.625,0.5,0.429,0.553,0.143,0.0,0.286
1.0,0.0,1.0,0.389,0.0,0.667,0.286,0.51,1.0,0.429,0.0
0.429,0.167,0.0,0.389,0.0,0.5,0.429,0.764,0.0,0.0,0.857
0.0,0.0,1.0,1.0,0.0,0.5,0.571,0.0,0.571,0.0,0.571
0.857,0.167,1.0,0.167,0.625,0.5,0.429,0.371,0.571,0.0,0.571
0.286,0.333,0.143,0.0,0.625,0.5,0.571,0.563,0.143,0.143,0.286
0.0,0.0,1.0,0.167,0.625,0.5,0.429,0.482,1.0,0.0,0.286
0.714,0.667,0.714,0.0,0.5,0.667,0.429,0.157,0.429,0.286,0.143
0.0,0.333,0.571,0.389,0.625,0.5,0.571,0.198,0.143,0.0,0.286
0.143,0.0,0.857,0.0,0.375,0.5,0.429,0.348,0.571,0.0,0.571
0.286,0.0,0.0,0.0,0.375,0.5,0.857,0.384,0.143,0.714,0.0
1.0,0.0,0.0,0.389,0.625,0.667,0.286,0.173,0.429,0.0,0.286
0.857,0.167,0.143,0.0,0.375,0.333,0.714,0.134,0.714,0.714,0.0
0.143,0.0,1.0,1.0,0.625,0.5,0.429,0.957,1.0,0.0,0.714
0.714,0.167,1.0,0.0,0.375,0.333,0.143,0.682,0.0,0.429,0.286
0.429,0.333,0.0,0.0,0.375,0.833,0.143,0.443,0.571,0.429,0.0
0.0,0.0,1.0,1.0,0.625,0.5,0.429,0.366,0.571,0.0,0.714
1.0,0.0,0.286,0.722,1.0,0.5,0.429,0.587,0.857,0.429,0.143
0.429,0.0,1.0,1.0,0.875,0.5,0.429,0.425,0.857,0.0,0.714
0.429,0.167,0.143,0.0,0.375,0.667,0.143,0.391,0.429,0.571,0.0
0.143,0.0,1.0,1.0,0.875,0.5,0.429,0.453,1.0,0.0,0.429
0.714,0.0,1.0,1.0,0.875,0.5,0.429,0.512,1.0,0.0,0.429
1.0,0.167,1.0,0.0,0.375,0.667,0.571,0.938,0.857,0.714,0.0
0.571,0.0,0.286,0.667,0.625,0.5,0.429,0.216,0.0,0.0,0.714
0.286,0.333,0.0,0.0,0.625,0.5,0.857,0.508,0.571,0.429,0.143
0.571,0.167,0.571,0.0,0.625,0.333,0.143,0.472,0.571,0.429,0.143
0.286,0.0,0.286,0.0,0.625,0.667,0.571,0.587,0.143,0.714,0.0
0.0,0.5,0.429,0.0,0.375,0.667,0.286,0.453,0.429,0.143,0.143
1.0,0.333,0.714,0.0,0.625,1.0,0.286,0.52,1.0,0.714,0.0
0.143,0.167,0.857,0.0,0.625,0.333,0.429,0.546,0.429,0.429,0.143
0.857,0.333,0.0,0.0,0.625,0.667,0.714,0.883,1.0,0.714,0.0
0.286,0.167,0.143,0.0,0.625,0.5,0.571,0.507,1.0,0.143,0.571
0.0,0.667,1.0,0.0,0.375,0.667,0.571,0.319,0.143,0.714,0.0
1.0,0.167,0.0,0.0,0.625,0.833,0.286,0.884,1.0,0.571,0.0
1.0,0.167,0.714,0.0,0.625,0.667,0.714,0.912,0.857,0.286,0.0
0.0,0.333,1.0,0.0,0.625,0.5,0.429,0.324,0.0,0.143,0.571
0.857,0.167,0.857,0.0,0.625,0.667,0.286,0.781,0.429,1.0,0.0
0.0,0.0,0.714,0.0,0.625,0.5,0.286,0.84,0.571,0.429,0.571
0.143,0.167,0.571,0.0,0.625,0.333,0.714,0.821,0.286,0.571,0.143
0.0,0.0,0.286,0.0,0.5,0.5,0.571,0.209,1.0,0.714,0.286
1.0,0.5,0.143,0.0,0.375,0.5,0.286,0.501,0.571,0.429,0.143
1.0,0.333,0.286,0.0,0.625,0.167,0.571,0.564,0.429,0.429,0.429
1.0,0.333,0.857,0.0,0.125,0.167,0.571,0.535,0.857,0.429,0.429
0.0,0.667,1.0,0.111,0.375,0.5,0.0,0.312,0.143,0.429,0.0
0.571,0.5,0.143,0.0,0.375,0.667,0.0,0.267,0.286,0.714,0.0
1.0,0.0,0.0,0.111,0.625,0.5,0.429,0.723,0.0,0.143,0.143
0.143,0.167,0.571,0.0,0.375,1.0,0.143,0.922,0.714,0.857,0.0
0.857,0.167,1.0,0.0,0.5,0.333,0.286,0.544,0.286,0.857,0.429
0.857,0.333,0.143,0.333,0.625,0.333,0.571,0.234,0.0,0.143,0.714
0.857,0.167,0.286,0.111,0.625,0.5,0.286,0.503,0.571,0.286,0.0
0.0,0.5,0.0,0.0,0.375,0.333,0.571,0.478,0.0,0.714,0.143
0.286,0.167,0.0,0.111,0.625,0.167,0.714,0.911,0.571,0.571,0.286
0.857,0.167,1.0,0.0,0.375,0.5,0.429,0.301,0.571,0.714,0.0
0.286,0.167,1.0,0.0,0.375,0.5,0.571,0.912,0.857,0.286,0.143
0.429,0.167,0.571,0.111,0.625,0.333,0.286,0.387,0.0,0.286,0.286
0.0,0.333,0.143,0.111,0.0,0.667,0.143,0.434,0.714,0.429,0.0
1.0,0.167,1.0,0.389,0.625,0.5,0.429,0.615,0.571,0.143,0.143
1.0,0.167,0.571,0.111,0.625,0.833,0.143,0.588,0.143,0.714,0.0
0.857,0.167,0.571,0.0,0.625,0.667,0.143,0.559,0.714,0.286,0.0
0.0,0.5,0.857,0.944,0.375,0.0,0.714,0.958,0.571,0.286,0.857
0.0,0.333,0.571,0.0,0.625,0.5,0.857,0.562,0.857,0.429,0.143
1.0,0.167,0.714,0.056,0.625,0.667,0.429,1.0,1.0,0.429,0.0
0.0,0.167,0.857,0.0,0.625,0.5,0.286,0.551,1.0,0.143,0.143
1.0,0.333,0.429,0.0,0.625,0.0,0.571,0.557,0.571,0.571,0.571
0.571,0.0,0.714,0.389,0.625,0.5,0.429,0.546,1.0,0.0,0.429
0.0,0.5,0.286,0.0,0.375,0.167,0.143,0.497,0.286,0.429,0.429
0.0,0.167,1.0,0.0,0.75,0.667,0.0,0.479,0.429,0.714,0.0
0.857,0.167,0.0,0.389,0.625,0.5,0.571,0.843,0.0,0.143,0.286
0.0,0.5,0.429,0.0,0.625,0.0,0.429,0.452,0.429,0.714,0.571
0.286,0.0,0.857,0.0,0.625,0.5,0.143,0.847,0.714,0.286,0.143
0.0,0.167,0.0,0.0,0.625,0.667,0.143,0.717,0.143,0.286,0.0
0.571,0.5,0.714,0.0,0.375,0.333,0.429,0.426,0.429,0.571,0.143
0.429,0.333,0.429,0.0,0.625,0.5,0.286,0.591,0.429,0.286,0.0
0.857,0.333,0.429,0.0,0.625,0.5,0.429,0.56,0.429,0.143,0.714
0.714,0.167,1.0,0.0,0.375,0.5,0.571,0.616,0.571,0.0,0.714
0.714,0.5,0.429,0.0,0.5,1.0,0.143,0.507,0.429,0.714,0.0
0.286,0.167,1.0,0.0,0.375,0.833,0.143,0.519,0.143,1.0,0.0
0.0,0.5,0.286,0.111,0.375,0.5,0.429,0.496,0.286,0.857,0.0
0.857,0.5,0.571,0.0,0.375,0.667,0.143,0.545,0.571,0.571,0.0
0.143,0.167,0.143,0.0,0.375,0.667,0.571,0.565,0.143,1.0,0.0
0.429,0.167,0.143,0.111,0.625,0.333,0.714,0.342,0.286,0.571,0.0
0.0,0.333,1.0,0.0,0.625,0.5,0.571,0.324,0.0,0.714,0.0
0.857,0.333,1.0,0.333,0.625,0.5,0.143,0.965,0.286,0.714,0.0
0.0,0.333,0.143,0.0,0.625,0.667,0.286,0.837,0.143,0.429,0.0
0.286,0.167,1.0,0.0,0.625,0.667,0.429,0.265,1.0,0.143,0.143
0.0,0.0,0.286,0.389,0.625,0.333,0.571,0.524,0.0,0.0,0.714
0.857,0.333,0.143,0.0,0.625,0.5,0.429,0.881,1.0,0.0,0.714
0.143,0.5,0.286,0.0,0.625,0.0,0.857,0.556,0.286,0.857,0.0
0.429,0.0,0.714,0.0,0.625,0.833,0.143,0.264,0.0,0.429,0.0
0.571,0.333,0.143,0.0,0.625,0.167,1.0,0.239,0.0,0.571,0.286
0.286,0.167,0.429,0.0,0.375,0.667,0.571,0.801,0.0,0.714,0.0
0.286,0.0,0.0,0.667,0.625,0.5,0.429,0.489,1.0,0.286,0.429
0.0,0.333,0.286,0.0,0.625,0.5,0.143,0.868,0.143,0.429,0.143
0.571,0.5,0.571,0.0,0.375,0.667,0.0,0.428,0.571,0.429,0.0
0.714,0.167,0.857,0.0,0.625,0.5,0.429,0.551,1.0,0.714,0.0
0.429,0.667,0.0,0.0,0.375,0.167,0.429,0.402,0.429,0.571,0.571
0.857,0.833,1.0,0.0,0.375,0.667,0.429,0.266,0.571,0.857,0.143
0.571,0.0,0.286,0.389,0.625,0.333,0.429,0.162,0.0,0.0,0.714
0.571,0.167,1.0,0.0,0.625,0.5,0.571,0.95,1.0,0.429,0.143
0.143,0.333,0.143,0.0,0.625,0.167,0.714,0.871,1.0,0.857,0.143
0.0,0.333,0.714,0.0,0.625,0.0,0.857,0.521,0.857,0.571,0.429
0.0,0.333,0.143,0.0,0.375,0.833,0.857,0.866,0.286,0.571,0.0
1.0,0.167,1.0,0.0,0.625,0.333,0.571,0.938,0.857,0.429,0.143
0.286,0.0,1.0,0.0,0.625,0.333,0.0,0.631,0.0,1.0,0.143
0.571,0.0,1.0,0.0,0.625,0.5,0.714,0.514,0.0,0.429,0.143
0.0,0.167,0.143,0.0,0.625,0.167,0.286,0.837,0.286,0.143,0.714
0.0,0.667,0.429,0.0,0.375,0.667,0.429,0.424,0.143,0.714,0.0
0.286,0.167,0.143,0.0,0.625,0.333,0.571,0.482,1.0,0.143,0.429
0.286,0.333,0.143,0.0,0.625,0.667,0.429,0.604,0.286,0.571,0.0
0.0,0.333,1.0,0.0,0.625,0.5,0.143,0.357,0.0,0.429,0.143
0.429,0.167,1.0,0.0,0.625,1.0,0.0,0.492,0.571,0.714,0.0
1.0,0.333,0.571,0.0,0.625,0.333,0.286,0.544,0.571,0.286,0.429
1.0,0.167,0.857,0.056,0.625,0.5,0.429,0.998,0.714,0.714,0.0
0.857,0.167,1.0,0.111,0.625,0.5,0.429,0.279,0.714,0.0,0.286
0.429,0.5,0.286,0.111,0.625,0.0,0.857,0.547,0.286,0.429,0.571
0.571,0.333,0.857,0.111,0.625,0.667,0.429,0.569,0.571,0.286,0.143
0.571,0.0,1.0,0.111,0.0,0.5,0.286,0.515,1.0,0.286,0.286
0.286,0.0,1.0,0.389,0.625,0.5,0.429,0.657,0.714,0.143,0.286
0.571,0.333,0.143,0.0,0.625,0.667,0.0,0.566,0.143,0.429,0.0
